BODY: Zombie_Berserker facing 0 frame 0: x 0, y -17
BODY: Zombie_Berserker facing 0 frame 1: x 0, y -17
BODY: Zombie_Berserker facing 0 frame 2: x 0, y -17
BODY: Zombie_Berserker facing 0 frame 3: x 0, y -17
BODY: Zombie_Berserker facing 1 frame 0: x 0, y -16
BODY: Zombie_Berserker facing 1 frame 1: x 0, y -16
BODY: Zombie_Berserker facing 1 frame 2: x 0, y -16
BODY: Zombie_Berserker facing 1 frame 3: x 0, y -16
BODY: Zombie_Berserker facing 2 frame 0: x 0, y -17
BODY: Zombie_Berserker facing 2 frame 1: x 0, y -17
BODY: Zombie_Berserker facing 2 frame 2: x 0, y -17
BODY: Zombie_Berserker facing 2 frame 3: x 0, y -17
BODY: Zombie_Berserker facing 3 frame 0: x 0, y -16
BODY: Zombie_Berserker facing 3 frame 1: x 0, y -16
BODY: Zombie_Berserker facing 3 frame 2: x 0, y -16
BODY: Zombie_Berserker facing 3 frame 3: x 0, y -16
EXPLODE: Zombie_Berserker facing 0 frame 0: x 80, y 100
EXPLODE: Zombie_Berserker facing 0 frame 1: x 82, y 81
EXPLODE: Zombie_Berserker facing 0 frame 2: x 84, y 68
EXPLODE: Zombie_Berserker facing 0 frame 3: x 86, y 66
EXPLODE: Zombie_Berserker facing 0 frame 4: x 88, y 77
EXPLODE: Zombie_Berserker facing 0 frame 5: x 86, y 102
EXPLODE: Zombie_Berserker facing 0 frame 6: x 84, y 127
EXPLODE: Zombie_Berserker facing 0 frame 7: x 82, y 152
EXPLODE: Zombie_Berserker facing 0 frame 8: x 80, y 177
EXPLODE: Zombie_Berserker facing 0 frame 9: x 84, y 197
EXPLODE: Zombie_Berserker facing 0 frame 10: x 84, y 197
EXPLODE: Zombie_Berserker facing 0 frame 11: x 84, y 197
EXPLODE: Zombie_Berserker facing 1 frame 0: x 80, y 101
EXPLODE: Zombie_Berserker facing 1 frame 1: x 82, y 82
EXPLODE: Zombie_Berserker facing 1 frame 2: x 84, y 69
EXPLODE: Zombie_Berserker facing 1 frame 3: x 86, y 66
EXPLODE: Zombie_Berserker facing 1 frame 4: x 88, y 77
EXPLODE: Zombie_Berserker facing 1 frame 5: x 86, y 102
EXPLODE: Zombie_Berserker facing 1 frame 6: x 84, y 127
EXPLODE: Zombie_Berserker facing 1 frame 7: x 82, y 152
EXPLODE: Zombie_Berserker facing 1 frame 8: x 80, y 177
EXPLODE: Zombie_Berserker facing 1 frame 9: x 84, y 198
EXPLODE: Zombie_Berserker facing 1 frame 10: x 84, y 198
EXPLODE: Zombie_Berserker facing 1 frame 11: x 84, y 198
EXPLODE: Zombie_Berserker facing 2 frame 0: x 80, y 100
EXPLODE: Zombie_Berserker facing 2 frame 1: x 82, y 81
EXPLODE: Zombie_Berserker facing 2 frame 2: x 84, y 68
EXPLODE: Zombie_Berserker facing 2 frame 3: x 86, y 66
EXPLODE: Zombie_Berserker facing 2 frame 4: x 88, y 77
EXPLODE: Zombie_Berserker facing 2 frame 5: x 86, y 102
EXPLODE: Zombie_Berserker facing 2 frame 6: x 84, y 127
EXPLODE: Zombie_Berserker facing 2 frame 7: x 82, y 152
EXPLODE: Zombie_Berserker facing 2 frame 8: x 80, y 177
EXPLODE: Zombie_Berserker facing 2 frame 9: x 84, y 197
EXPLODE: Zombie_Berserker facing 2 frame 10: x 84, y 197
EXPLODE: Zombie_Berserker facing 2 frame 11: x 84, y 197
EXPLODE: Zombie_Berserker facing 3 frame 0: x 80, y 101
EXPLODE: Zombie_Berserker facing 3 frame 1: x 82, y 82
EXPLODE: Zombie_Berserker facing 3 frame 2: x 84, y 69
EXPLODE: Zombie_Berserker facing 3 frame 3: x 86, y 66
EXPLODE: Zombie_Berserker facing 3 frame 4: x 88, y 77
EXPLODE: Zombie_Berserker facing 3 frame 5: x 86, y 102
EXPLODE: Zombie_Berserker facing 3 frame 6: x 84, y 127
EXPLODE: Zombie_Berserker facing 3 frame 7: x 82, y 152
EXPLODE: Zombie_Berserker facing 3 frame 8: x 80, y 177
EXPLODE: Zombie_Berserker facing 3 frame 9: x 84, y 198
EXPLODE: Zombie_Berserker facing 3 frame 10: x 84, y 198
EXPLODE: Zombie_Berserker facing 3 frame 11: x 84, y 198
BODY: Zombie_Witch facing 0 frame 0: x 0, y -17
BODY: Zombie_Witch facing 0 frame 1: x 0, y -17
BODY: Zombie_Witch facing 0 frame 2: x 0, y -17
BODY: Zombie_Witch facing 0 frame 3: x 0, y -17
BODY: Zombie_Witch facing 1 frame 0: x 0, y -16
BODY: Zombie_Witch facing 1 frame 1: x 0, y -16
BODY: Zombie_Witch facing 1 frame 2: x 0, y -16
BODY: Zombie_Witch facing 1 frame 3: x 0, y -16
BODY: Zombie_Witch facing 2 frame 0: x 0, y -17
BODY: Zombie_Witch facing 2 frame 1: x 0, y -17
BODY: Zombie_Witch facing 2 frame 2: x 0, y -17
BODY: Zombie_Witch facing 2 frame 3: x 0, y -17
BODY: Zombie_Witch facing 3 frame 0: x 0, y -16
BODY: Zombie_Witch facing 3 frame 1: x 0, y -16
BODY: Zombie_Witch facing 3 frame 2: x 0, y -16
BODY: Zombie_Witch facing 3 frame 3: x 0, y -16
EXPLODE: Zombie_Witch facing 0 frame 0: x 80, y 100
EXPLODE: Zombie_Witch facing 0 frame 1: x 82, y 81
EXPLODE: Zombie_Witch facing 0 frame 2: x 84, y 68
EXPLODE: Zombie_Witch facing 0 frame 3: x 86, y 66
EXPLODE: Zombie_Witch facing 0 frame 4: x 88, y 77
EXPLODE: Zombie_Witch facing 0 frame 5: x 86, y 102
EXPLODE: Zombie_Witch facing 0 frame 6: x 84, y 127
EXPLODE: Zombie_Witch facing 0 frame 7: x 82, y 152
EXPLODE: Zombie_Witch facing 0 frame 8: x 80, y 177
EXPLODE: Zombie_Witch facing 0 frame 9: x 84, y 197
EXPLODE: Zombie_Witch facing 0 frame 10: x 84, y 197
EXPLODE: Zombie_Witch facing 0 frame 11: x 84, y 197
EXPLODE: Zombie_Witch facing 1 frame 0: x 80, y 101
EXPLODE: Zombie_Witch facing 1 frame 1: x 82, y 82
EXPLODE: Zombie_Witch facing 1 frame 2: x 84, y 69
EXPLODE: Zombie_Witch facing 1 frame 3: x 86, y 66
EXPLODE: Zombie_Witch facing 1 frame 4: x 88, y 77
EXPLODE: Zombie_Witch facing 1 frame 5: x 86, y 102
EXPLODE: Zombie_Witch facing 1 frame 6: x 84, y 127
EXPLODE: Zombie_Witch facing 1 frame 7: x 82, y 152
EXPLODE: Zombie_Witch facing 1 frame 8: x 80, y 177
EXPLODE: Zombie_Witch facing 1 frame 9: x 84, y 198
EXPLODE: Zombie_Witch facing 1 frame 10: x 84, y 198
EXPLODE: Zombie_Witch facing 1 frame 11: x 84, y 198
EXPLODE: Zombie_Witch facing 2 frame 0: x 80, y 100
EXPLODE: Zombie_Witch facing 2 frame 1: x 82, y 81
EXPLODE: Zombie_Witch facing 2 frame 2: x 84, y 68
EXPLODE: Zombie_Witch facing 2 frame 3: x 86, y 66
EXPLODE: Zombie_Witch facing 2 frame 4: x 88, y 77
EXPLODE: Zombie_Witch facing 2 frame 5: x 86, y 102
EXPLODE: Zombie_Witch facing 2 frame 6: x 84, y 127
EXPLODE: Zombie_Witch facing 2 frame 7: x 82, y 152
EXPLODE: Zombie_Witch facing 2 frame 8: x 80, y 177
EXPLODE: Zombie_Witch facing 2 frame 9: x 84, y 197
EXPLODE: Zombie_Witch facing 2 frame 10: x 84, y 197
EXPLODE: Zombie_Witch facing 2 frame 11: x 84, y 197
EXPLODE: Zombie_Witch facing 3 frame 0: x 80, y 101
EXPLODE: Zombie_Witch facing 3 frame 1: x 82, y 82
EXPLODE: Zombie_Witch facing 3 frame 2: x 84, y 69
EXPLODE: Zombie_Witch facing 3 frame 3: x 86, y 66
EXPLODE: Zombie_Witch facing 3 frame 4: x 88, y 77
EXPLODE: Zombie_Witch facing 3 frame 5: x 86, y 102
EXPLODE: Zombie_Witch facing 3 frame 6: x 84, y 127
EXPLODE: Zombie_Witch facing 3 frame 7: x 82, y 152
EXPLODE: Zombie_Witch facing 3 frame 8: x 80, y 177
EXPLODE: Zombie_Witch facing 3 frame 9: x 84, y 198
EXPLODE: Zombie_Witch facing 3 frame 10: x 84, y 198
EXPLODE: Zombie_Witch facing 3 frame 11: x 84, y 198
BODY: Zombie_Scout facing 0 frame 0: x 0, y -18
BODY: Zombie_Scout facing 0 frame 1: x 0, y -18
BODY: Zombie_Scout facing 0 frame 2: x 0, y -18
BODY: Zombie_Scout facing 0 frame 3: x 0, y -18
BODY: Zombie_Scout facing 1 frame 0: x 0, y -18
BODY: Zombie_Scout facing 1 frame 1: x 0, y -18
BODY: Zombie_Scout facing 1 frame 2: x 0, y -18
BODY: Zombie_Scout facing 1 frame 3: x 0, y -18
BODY: Zombie_Scout facing 2 frame 0: x 0, y -18
BODY: Zombie_Scout facing 2 frame 1: x 0, y -18
BODY: Zombie_Scout facing 2 frame 2: x 0, y -18
BODY: Zombie_Scout facing 2 frame 3: x 0, y -18
BODY: Zombie_Scout facing 3 frame 0: x 0, y -18
BODY: Zombie_Scout facing 3 frame 1: x 0, y -18
BODY: Zombie_Scout facing 3 frame 2: x 0, y -18
BODY: Zombie_Scout facing 3 frame 3: x 0, y -18
EXPLODE: Zombie_Scout facing 0 frame 0: x 80, y 99
EXPLODE: Zombie_Scout facing 0 frame 1: x 82, y 80
EXPLODE: Zombie_Scout facing 0 frame 2: x 84, y 67
EXPLODE: Zombie_Scout facing 0 frame 3: x 86, y 65
EXPLODE: Zombie_Scout facing 0 frame 4: x 88, y 76
EXPLODE: Zombie_Scout facing 0 frame 5: x 86, y 101
EXPLODE: Zombie_Scout facing 0 frame 6: x 84, y 126
EXPLODE: Zombie_Scout facing 0 frame 7: x 82, y 151
EXPLODE: Zombie_Scout facing 0 frame 8: x 80, y 176
EXPLODE: Zombie_Scout facing 0 frame 9: x 84, y 196
EXPLODE: Zombie_Scout facing 0 frame 10: x 84, y 196
EXPLODE: Zombie_Scout facing 0 frame 11: x 84, y 196
EXPLODE: Zombie_Scout facing 1 frame 0: x 80, y 99
EXPLODE: Zombie_Scout facing 1 frame 1: x 82, y 80
EXPLODE: Zombie_Scout facing 1 frame 2: x 84, y 67
EXPLODE: Zombie_Scout facing 1 frame 3: x 86, y 64
EXPLODE: Zombie_Scout facing 1 frame 4: x 88, y 75
EXPLODE: Zombie_Scout facing 1 frame 5: x 86, y 100
EXPLODE: Zombie_Scout facing 1 frame 6: x 84, y 125
EXPLODE: Zombie_Scout facing 1 frame 7: x 82, y 150
EXPLODE: Zombie_Scout facing 1 frame 8: x 80, y 175
EXPLODE: Zombie_Scout facing 1 frame 9: x 84, y 196
EXPLODE: Zombie_Scout facing 1 frame 10: x 84, y 196
EXPLODE: Zombie_Scout facing 1 frame 11: x 84, y 196
EXPLODE: Zombie_Scout facing 2 frame 0: x 80, y 99
EXPLODE: Zombie_Scout facing 2 frame 1: x 82, y 80
EXPLODE: Zombie_Scout facing 2 frame 2: x 84, y 67
EXPLODE: Zombie_Scout facing 2 frame 3: x 86, y 65
EXPLODE: Zombie_Scout facing 2 frame 4: x 88, y 76
EXPLODE: Zombie_Scout facing 2 frame 5: x 86, y 101
EXPLODE: Zombie_Scout facing 2 frame 6: x 84, y 126
EXPLODE: Zombie_Scout facing 2 frame 7: x 82, y 151
EXPLODE: Zombie_Scout facing 2 frame 8: x 80, y 176
EXPLODE: Zombie_Scout facing 2 frame 9: x 84, y 196
EXPLODE: Zombie_Scout facing 2 frame 10: x 84, y 196
EXPLODE: Zombie_Scout facing 2 frame 11: x 84, y 196
EXPLODE: Zombie_Scout facing 3 frame 0: x 80, y 99
EXPLODE: Zombie_Scout facing 3 frame 1: x 82, y 80
EXPLODE: Zombie_Scout facing 3 frame 2: x 84, y 67
EXPLODE: Zombie_Scout facing 3 frame 3: x 86, y 64
EXPLODE: Zombie_Scout facing 3 frame 4: x 88, y 75
EXPLODE: Zombie_Scout facing 3 frame 5: x 86, y 100
EXPLODE: Zombie_Scout facing 3 frame 6: x 84, y 125
EXPLODE: Zombie_Scout facing 3 frame 7: x 82, y 150
EXPLODE: Zombie_Scout facing 3 frame 8: x 80, y 175
EXPLODE: Zombie_Scout facing 3 frame 9: x 84, y 196
EXPLODE: Zombie_Scout facing 3 frame 10: x 84, y 196
EXPLODE: Zombie_Scout facing 3 frame 11: x 84, y 196
BODY: Zombie_Captain facing 0 frame 0: x 0, y -17
BODY: Zombie_Captain facing 0 frame 1: x 0, y -17
BODY: Zombie_Captain facing 0 frame 2: x 0, y -17
BODY: Zombie_Captain facing 0 frame 3: x 0, y -17
BODY: Zombie_Captain facing 1 frame 0: x 0, y -16
BODY: Zombie_Captain facing 1 frame 1: x 0, y -16
BODY: Zombie_Captain facing 1 frame 2: x 0, y -16
BODY: Zombie_Captain facing 1 frame 3: x 0, y -16
BODY: Zombie_Captain facing 2 frame 0: x 0, y -17
BODY: Zombie_Captain facing 2 frame 1: x 0, y -17
BODY: Zombie_Captain facing 2 frame 2: x 0, y -17
BODY: Zombie_Captain facing 2 frame 3: x 0, y -17
BODY: Zombie_Captain facing 3 frame 0: x 0, y -16
BODY: Zombie_Captain facing 3 frame 1: x 0, y -16
BODY: Zombie_Captain facing 3 frame 2: x 0, y -16
BODY: Zombie_Captain facing 3 frame 3: x 0, y -16
EXPLODE: Zombie_Captain facing 0 frame 0: x 80, y 100
EXPLODE: Zombie_Captain facing 0 frame 1: x 82, y 81
EXPLODE: Zombie_Captain facing 0 frame 2: x 84, y 68
EXPLODE: Zombie_Captain facing 0 frame 3: x 86, y 66
EXPLODE: Zombie_Captain facing 0 frame 4: x 88, y 77
EXPLODE: Zombie_Captain facing 0 frame 5: x 86, y 102
EXPLODE: Zombie_Captain facing 0 frame 6: x 84, y 127
EXPLODE: Zombie_Captain facing 0 frame 7: x 82, y 152
EXPLODE: Zombie_Captain facing 0 frame 8: x 80, y 177
EXPLODE: Zombie_Captain facing 0 frame 9: x 84, y 197
EXPLODE: Zombie_Captain facing 0 frame 10: x 84, y 197
EXPLODE: Zombie_Captain facing 0 frame 11: x 84, y 197
EXPLODE: Zombie_Captain facing 1 frame 0: x 80, y 101
EXPLODE: Zombie_Captain facing 1 frame 1: x 82, y 82
EXPLODE: Zombie_Captain facing 1 frame 2: x 84, y 69
EXPLODE: Zombie_Captain facing 1 frame 3: x 86, y 66
EXPLODE: Zombie_Captain facing 1 frame 4: x 88, y 77
EXPLODE: Zombie_Captain facing 1 frame 5: x 86, y 102
EXPLODE: Zombie_Captain facing 1 frame 6: x 84, y 127
EXPLODE: Zombie_Captain facing 1 frame 7: x 82, y 152
EXPLODE: Zombie_Captain facing 1 frame 8: x 80, y 177
EXPLODE: Zombie_Captain facing 1 frame 9: x 84, y 198
EXPLODE: Zombie_Captain facing 1 frame 10: x 84, y 198
EXPLODE: Zombie_Captain facing 1 frame 11: x 84, y 198
EXPLODE: Zombie_Captain facing 2 frame 0: x 80, y 100
EXPLODE: Zombie_Captain facing 2 frame 1: x 82, y 81
EXPLODE: Zombie_Captain facing 2 frame 2: x 84, y 68
EXPLODE: Zombie_Captain facing 2 frame 3: x 86, y 66
EXPLODE: Zombie_Captain facing 2 frame 4: x 88, y 77
EXPLODE: Zombie_Captain facing 2 frame 5: x 86, y 102
EXPLODE: Zombie_Captain facing 2 frame 6: x 84, y 127
EXPLODE: Zombie_Captain facing 2 frame 7: x 82, y 152
EXPLODE: Zombie_Captain facing 2 frame 8: x 80, y 177
EXPLODE: Zombie_Captain facing 2 frame 9: x 84, y 197
EXPLODE: Zombie_Captain facing 2 frame 10: x 84, y 197
EXPLODE: Zombie_Captain facing 2 frame 11: x 84, y 197
EXPLODE: Zombie_Captain facing 3 frame 0: x 80, y 101
EXPLODE: Zombie_Captain facing 3 frame 1: x 82, y 82
EXPLODE: Zombie_Captain facing 3 frame 2: x 84, y 69
EXPLODE: Zombie_Captain facing 3 frame 3: x 86, y 66
EXPLODE: Zombie_Captain facing 3 frame 4: x 88, y 77
EXPLODE: Zombie_Captain facing 3 frame 5: x 86, y 102
EXPLODE: Zombie_Captain facing 3 frame 6: x 84, y 127
EXPLODE: Zombie_Captain facing 3 frame 7: x 82, y 152
EXPLODE: Zombie_Captain facing 3 frame 8: x 80, y 177
EXPLODE: Zombie_Captain facing 3 frame 9: x 84, y 198
EXPLODE: Zombie_Captain facing 3 frame 10: x 84, y 198
EXPLODE: Zombie_Captain facing 3 frame 11: x 84, y 198
BODY: Zombie_Mystic facing 0 frame 0: x 0, y -18
BODY: Zombie_Mystic facing 0 frame 1: x 0, y -18
BODY: Zombie_Mystic facing 0 frame 2: x 0, y -18
BODY: Zombie_Mystic facing 0 frame 3: x 0, y -18
BODY: Zombie_Mystic facing 1 frame 0: x 0, y -18
BODY: Zombie_Mystic facing 1 frame 1: x 0, y -18
BODY: Zombie_Mystic facing 1 frame 2: x 0, y -18
BODY: Zombie_Mystic facing 1 frame 3: x 0, y -18
BODY: Zombie_Mystic facing 2 frame 0: x 0, y -18
BODY: Zombie_Mystic facing 2 frame 1: x 0, y -18
BODY: Zombie_Mystic facing 2 frame 2: x 0, y -18
